Date,Area,Location,Activity,Incident Type,Fatal?,Address
21-Mar-08,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,Unprovoked,Non-fatal,"Beachway Avenue Approach, New Smyrna Beach, Volusia County,Florida,USA"
23-Mar-08,Florida,"Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Standing,Unprovoked,Non-fatal,"Ponce de Leon Jetty, New Smyrna Beach, Volusia County,Florida,USA"
25-Mar-08,Florida,"Palm Beach Shores, Palm Beach County",Wading,Unprovoked,Non-fatal,"Palm Beach Shores, Palm Beach County,Florida,USA"
28-Mar-08,Florida,"Cocoa Beach, Brevard County",Boogie Boarding,Unprovoked,Non-fatal,"Cocoa Beach, Brevard County,Florida,USA"
28-Mar-08,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
3-Apr-08,Florida,"Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Standing,Unprovoked,Non-fatal,"Ponce de Leon Jetty, New Smyrna Beach, Volusia County,Florida,USA"
8-Apr-08,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
15-Apr-08,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Unprovoked,Non-fatal,"Playalinda Beach, Canaveral National Seashore, Brevard County,Florida,USA"
20-Apr-08,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
25-Apr-08,California,"Solana Beach, San Diego County",Swimming,Unprovoked,Fatal,"Solana Beach, San Diego County,California,USA"
27-Apr-08,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
28-Apr-08,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
7-May-08,Florida,"New Smyrna Beach, Volusia County",Wading,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
26-May-08,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,Unprovoked,Non-fatal,"Hammocks Beach State Park, Bear Island, Onslow County,North Carolina,USA"
1-Jun-08,South Carolina,Cherry Grove,Boogie Boarding,Unprovoked,Non-fatal,"Cherry Grove,South Carolina,USA"
7-Jun-08,Florida,"Cocoa Beach, Brevard County",Boogie Boarding,Unprovoked,Non-fatal,"Cocoa Beach, Brevard County,Florida,USA"
20-Jun-08,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,Unprovoked,Non-fatal,"Fernandina Beach, Amelia Island, Nassau County,Florida,USA"
