Date,Area,Location,Activity,Incident Type,Fatal?,Address
11-May-14,Georgia,"Tybee Island, Chatham County",Surfing,Unprovoked,Non-fatal,"Tybee Island, Chatham County,Georgia,USA"
15-May-14,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Boogie Boarding,Unprovoked,Non-fatal,"Juan Ponce de León Landing, Melbourne Beach, Brevard County,Florida,USA"
21-Jun-16,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,Unprovoked,Non-fatal,"Pelican Beach Park, Satellite Beach, Brevard County,Florida,USA"
1-Jun-14,Florida,Fort Lauderdale,Swimming,Unprovoked,Non-fatal,"Fort Lauderdale,Florida,USA"
7-Jun-14,Texas,"West Beach, Galveston",Playing in the water,Unprovoked,Non-fatal,"West Beach, Galveston,Texas,USA"
9-Jun-14,Delaware,"Cape Henlopen State Park, Sussex County",Standing,Unprovoked,Non-fatal,"Cape Henlopen State Park, Sussex County,Delaware,USA"
3-Jul-14,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,Unprovoked,Non-fatal,"Isle of Palms, Charleston County,South Carolina,USA"
5-Jul-14,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,Unprovoked,Non-fatal,"Oceano Dunes State Beach, San Luis Obispo County,California,USA"
9-Jul-14,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
12-Jul-14,North Carolina,"Masonboro Island, New Hanover County",Boogie Boarding,Unprovoked,Non-fatal,"Masonboro Island, New Hanover County,North Carolina,USA"
21-Jun-16,South Carolina,"North Myrtle Beach, Horry County",Floating,Unprovoked,Non-fatal,"North Myrtle Beach, Horry County,South Carolina,USA"
16-Jul-14,Hawaii,"Paia Bay, Maui",Swimming,Unprovoked,Non-fatal,"Paia Bay, Maui,Hawaii,USA"
21-Jul-14,Florida,"Indialantic, Brevard County",Standing,Unprovoked,Non-fatal,"Indialantic, Brevard County,Florida,USA"
27-Jul-14,North Carolina,"Sunset Beach, Brunswick County",Swimming,Unprovoked,Non-fatal,"Sunset Beach, Brunswick County,North Carolina,USA"
2-Aug-14,Florida,"Table Beach, Brevard County",Boogie Boarding,Unprovoked,Non-fatal,"Table Beach, Brevard County,Florida,USA"
2-Aug-14,Florida,"Cocoa Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Cocoa Beach, Brevard County,Florida,USA"
5-Aug-14,Florida,"Cocoa Beach, Brevard County",Swimming,Unprovoked,Non-fatal,"Cocoa Beach, Brevard County,Florida,USA"
6-Aug-14,South Carolina,"Folly Beach, Charleston County",Boogie Boarding,Unprovoked,Non-fatal,"Folly Beach, Charleston County,South Carolina,USA"
8-Aug-14,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,Unprovoked,Non-fatal,"Lake Ponchartain off Southshore Harbor, New Orleans,Louisiana,USA"
9-Aug-14,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Swimming,Unprovoked,Non-fatal,"Lori Wilson Park, Cocoa Beach, Brevard County,Florida,USA"
18-Sep-16,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
12-Aug-14,Florida,"Money Beach, Gulf County",Standing,Unprovoked,Non-fatal,"Money Beach, Gulf County,Florida,USA"
25-Jun-16,North Carolina,"Atlantic Beach, Carteret County",Surfing,Unprovoked,Non-fatal,"Atlantic Beach, Carteret County,North Carolina,USA"
27-Aug-14,South Carolina,"Surfside Beach, Horry County",Standing,Unprovoked,Non-fatal,"Surfside Beach, Horry County,South Carolina,USA"
27-Aug-14,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,Unprovoked,Non-fatal,"Figure Eight Island, Wilmington, New Hanover County,North Carolina,USA"
29-Aug-14,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Ponce Inlet, New Smyrna Beach, Volusia County,Florida,USA"
31-Aug-14,Florida,"New Smyrna Beach, Volusia County",Boogie Boarding,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
3-Sep-14,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking,Unprovoked,Non-fatal,"Manomet Point, Plymouth, Plymouth County,Massachusetts,USA"
6-Sep-14,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing,Unprovoked,Non-fatal,"Katrina Cut, Dauphin Island, Mobile County,Alabama,USA"
21-Sep-14,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
2-Oct-14,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,Unprovoked,Non-fatal,"Walls Beach, Vandenberg AFB, Santa Barbara County,California,USA"
5-Oct-14,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
5-Oct-14,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
7-Oct-14,Florida,"Cherie Down Park, Brevard County",Fishing,Unprovoked,Non-fatal,"Cherie Down Park, Brevard County,Florida,USA"
12-Oct-14,Florida,"Melbourne Beach, Brevard County",Boogie Boarding,Unprovoked,Non-fatal,"Melbourne Beach, Brevard County,Florida,USA"
14-Oct-14,South Carolina,"Hilton Head Island, Beaufort County",Floating,Unprovoked,Non-fatal,"Hilton Head Island, Beaufort County,South Carolina,USA"
18-Oct-14,Hawaii,"Maalaea, South Maui",Surfing,Unprovoked,Non-fatal,"Maalaea, South Maui,Hawaii,USA"
20-Oct-14,Hawaii,"Kahului, Maui",Standing,Unprovoked,Non-fatal,"Kahului, Maui,Hawaii,USA"
22-Oct-14,Hawaii,"Kihei, Maui",Standing,Unprovoked,Non-fatal,"Kihei, Maui,Hawaii,USA"
31-Oct-14,Hawaii,"North Kohala, Hawaii County",Surfing,Unprovoked,Non-fatal,"North Kohala, Hawaii County,Hawaii,USA"
8-Nov-14,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,Unprovoked,Non-fatal,"Fort Pierce Inlet State Park, St. Lucie County,Florida,USA"
14-Nov-16,Hawaii,"Kamaole Beach Park I, Maui",Floating,Unprovoked,Non-fatal,"Kamaole Beach Park I, Maui,Hawaii,USA"
16-Nov-14,Florida,"Indian Harbor Beach, Brevard County",Surfing,Unprovoked,Non-fatal,"Indian Harbor Beach, Brevard County,Florida,USA"
28-Dec-14,California,"Montaña de Oro State Park, San Luis Obispo County",Surfing,Unprovoked,Non-fatal,"Montaña de Oro State Park, San Luis Obispo County,California,USA"
1-Oct-16,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
1-Jan-15,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
18-Mar-15,Hawaii,Hapuna Beach,Snorkeling,Unprovoked,Non-fatal,"Hapuna Beach,Hawaii,USA"
3-Apr-15,Florida,"Jupiter Beach, Palm Beach County",Spearfishing,Unprovoked,Non-fatal,"Jupiter Beach, Palm Beach County,Florida,USA"
13-Apr-15,Florida,"Florida Keys, Monroe County",Playing in the water,Unprovoked,Non-fatal,"Florida Keys, Monroe County,Florida,USA"
26-Apr-15,Florida,"Resident's Beach, Marco Island",Wading,Unprovoked,Non-fatal,"Resident's Beach, Marco Island,Florida,USA"
29-Apr-15,Hawaii,"Kanaha Beach, Maui",Snorkeling,Unprovoked,Fatal,"Kanaha Beach, Maui,Hawaii,USA"
7-May-15,Florida,"Cocoa Beach, Brevard County",Swimming,Unprovoked,Non-fatal,"Cocoa Beach, Brevard County,Florida,USA"
2-Oct-16,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
24-May-15,Florida,"Cocoa Beach, Brevard County",Swimming,Unprovoked,Non-fatal,"Cocoa Beach, Brevard County,Florida,USA"
29-May-15,Florida,"New Smyrna Beach, Volusia County",Wading,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
29-May-15,Florida,"Cocoa Beach, Brevard County",Standing,Unprovoked,Non-fatal,"Cocoa Beach, Brevard County,Florida,USA"
5-Jun-15,Florida,Fort Lauderdale,Playing in the water,Unprovoked,Non-fatal,"Fort Lauderdale,Florida,USA"
7-Jun-15,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Playing in the water,Unprovoked,Non-fatal,"Lori Wilson Park, Cocoa Beach, Brevard County,Florida,USA"
11-Jun-15,North Carolina,"Ocean Isle, Brunswick County",Boogie Boarding,Unprovoked,Non-fatal,"Ocean Isle, Brunswick County,North Carolina,USA"
10-Oct-16,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,Unprovoked,Non-fatal,"Indian Beach, Ecola State Park, Clatsop County,Oregon,USA"
14-Jun-15,North Carolina,"Oak Island, Brunswick County",Wading,Unprovoked,Non-fatal,"Oak Island, Brunswick County,North Carolina,USA"
14-Jun-15,North Carolina,"Oak Island, Brunswick County",Wading,Unprovoked,Non-fatal,"Oak Island, Brunswick County,North Carolina,USA"
17-Jun-15,Florida,"Daytona Beach, Volusia County",Swimming,Unprovoked,Non-fatal,"Daytona Beach, Volusia County,Florida,USA"
23-Jun-15,South Carolina,"St. Helena Island, Beaufort County",Standing,Unprovoked,Non-fatal,"St. Helena Island, Beaufort County,South Carolina,USA"
24-Jun-15,North Carolina,"Surf City, Topsail Island, Pender County",Swimming,Unprovoked,Non-fatal,"Surf City, Topsail Island, Pender County,North Carolina,USA"
25-Jun-15,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Boogie Boarding,Unprovoked,Non-fatal,"Avon, Hatteras Island, Outer Banks, Dare County,North Carolina,USA"
26-Jun-15,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,Unprovoked,Non-fatal,"South Beach, Hunting Island State Park, Beaufort County,South Carolina,USA"
27-Jun-15,North Carolina,"Rodanthe, Dare County",Swimming,Unprovoked,Non-fatal,"Rodanthe, Dare County,North Carolina,USA"
30-Jun-15,South Carolina,"Isle of Palms, Charleston County",Playing in the water,Unprovoked,Non-fatal,"Isle of Palms, Charleston County,South Carolina,USA"
1-Jul-15,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,Unprovoked,Non-fatal,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County,North Carolina,USA"
14-Oct-16,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,Unprovoked,Non-fatal,"Charlie Young Beach, Kihei, Maui,Hawaii,USA"
10-Jul-15,California,"Huntington Beach, Orange County",Surfing,Unprovoked,Non-fatal,"Huntington Beach, Orange County,California,USA"
26-Jul-15,Florida,"Daytona Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"Daytona Beach, Volusia County,Florida,USA"
18-Aug-15,California,Santa Barbara County,Kayaking,Unprovoked,Non-fatal,"Santa Barbara County,California,USA"
19-Aug-15,Florida,"Jacksonville Beach, Duval County",Standing,Unprovoked,Non-fatal,"Jacksonville Beach, Duval County,Florida,USA"
20-Aug-15,South Carolina,"Murrells Inlet, Georgetown County",Surfing,Unprovoked,Non-fatal,"Murrells Inlet, Georgetown County,South Carolina,USA"
29-Aug-15,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,Unprovoked,Non-fatal,"Morro Strand State Beach, San Luis Obispo County,California,USA"
29-Aug-15,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,Unprovoked,Non-fatal,"Morro Strand State Beach, San Luis Obispo County,California,USA"
21-Oct-16,Hawaii,"Hooipa Beach Park, Maui",Surfing,Unprovoked,Non-fatal,"Hooipa Beach Park, Maui,Hawaii,USA"
6-Sep-15,California,"El Pescador Beach, Los Angeles County",Standing,Unprovoked,Non-fatal,"El Pescador Beach, Los Angeles County,California,USA"
17-Sep-15,Florida,"Jacksonville Beach, Duval County",Surfing,Unprovoked,Non-fatal,"Jacksonville Beach, Duval County,Florida,USA"
18-Sep-15,Florida,"Big Talbot Island, Duval County",Swimming,Unprovoked,Non-fatal,"Big Talbot Island, Duval County,Florida,USA"
20-Sep-15,Florida,"Vilano Beach, St. Johns County",Playing in the water,Unprovoked,Non-fatal,"Vilano Beach, St. Johns County,Florida,USA"
20-Sep-15,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,Unprovoked,Non-fatal,"Fernandina Beach, Amelia Island, Nassau County,Florida,USA"
20-Sep-15,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,Unprovoked,Non-fatal,"Upolu Point, North Kohala, Big Island,Hawaii,USA"
20-Sep-15,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
24-Sep-15,California,"Horseshoe Rock, Santa Barbara County",Kayaking,Unprovoked,Non-fatal,"Horseshoe Rock, Santa Barbara County,California,USA"
29-Sep-15,Florida,"Vilano Beach, St. Johns County",Surfing,Unprovoked,Non-fatal,"Vilano Beach, St. Johns County,Florida,USA"
4-Oct-15,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
5-Oct-15,Texas,"Pirates Beach, Galveston",Wading,Unprovoked,Non-fatal,"Pirates Beach, Galveston,Texas,USA"
5-Oct-15,Florida,"Pepper Park Beach, St. Lucie County",Boogie Boarding,Unprovoked,Non-fatal,"Pepper Park Beach, St. Lucie County,Florida,USA"
9-Oct-15,Hawaii,"Chun's Reef, Oahu",Surfing,Unprovoked,Non-fatal,"Chun's Reef, Oahu,Hawaii,USA"
9-Oct-15,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie Boarding,Unprovoked,Non-fatal,"Shipyard Beach Club, Hilton Head Island, Beaufort County,South Carolina,USA"
17-Oct-15,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,Unprovoked,Non-fatal,"Lanikai Beach, Kailua, Oahu,Hawaii,USA"
19-Oct-15,Florida,"Deerfield Beach, Broward County",Surfing,Unprovoked,Non-fatal,"Deerfield Beach, Broward County,Florida,USA"
21-Oct-15,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Unprovoked,Non-fatal,"Playalinda Beach, Canaveral National Seashore, Brevard County,Florida,USA"
28-Oct-15,Hawaii,"Malaka, Oahu",Boogie Boarding,Unprovoked,Non-fatal,"Malaka, Oahu,Hawaii,USA"
1-Nov-15,Florida,"Cocoa Beach, Brevard County",Wading,Unprovoked,Non-fatal,"Cocoa Beach, Brevard County,Florida,USA"
3-Nov-15,Hawaii,"Pirates Beach, Galveston",Swimming,Unprovoked,Non-fatal,"Pirates Beach, Galveston,Hawaii,USA"
15-Nov-15,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,Unprovoked,Non-fatal,"Ocean Reef Park, Singer Island, Palm Beach County,Florida,USA"
15-Nov-15,Florida,"Palm Beach Shores, Palm Beach County",Swimming,Unprovoked,Non-fatal,"Palm Beach Shores, Palm Beach County,Florida,USA"
16-Nov-15,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Unprovoked,Non-fatal,"Playalinda Beach, Canaveral National Seashore, Brevard County,Florida,USA"
22-Dec-15,Hawaii,La'aloa Beach Park,Paddle boarding,Unprovoked,Non-fatal,"La'aloa Beach Park,Hawaii,USA"
6-Jul-16,Florida,"Melbourne Beach, Brevard County",Swimming,Unprovoked,Non-fatal,"Melbourne Beach, Brevard County,Florida,USA"
15-Jul-16,South Carolina,"North Myrtle Beach, Horry County",Swimming,Unprovoked,Non-fatal,"North Myrtle Beach, Horry County,South Carolina,USA"
25-Jan-16,Hawaii,"Hanalei Bay, Kauai",Surfing,Unprovoked,Non-fatal,"Hanalei Bay, Kauai,Hawaii,USA"
28-Jan-16,Hawaii,"Hanalei Bay, Kauai",Surfing,Unprovoked,Non-fatal,"Hanalei Bay, Kauai,Hawaii,USA"
29-Oct-16,Florida,"Mayport Naval Station, Duval County",Surfing,Unprovoked,Non-fatal,"Mayport Naval Station, Duval County,Florida,USA"
11-Mar-16,Florida,"Vero Beach, St. Lucie County",Boogie Boarding,Unprovoked,Non-fatal,"Vero Beach, St. Lucie County,Florida,USA"
30-Oct-16,Florida,"Mayport Naval Station, Duval County",Surfing,Unprovoked,Non-fatal,"Mayport Naval Station, Duval County,Florida,USA"
27-Dec-16,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,Unprovoked,Non-fatal,"Avalon State Park Beach, North Hutchinson Island, St Lucie County,Florida,USA"
7-Apr-16,Florida,"Florida Keys, Monroe County",Fishing,Unprovoked,Non-fatal,"Florida Keys, Monroe County,Florida,USA"
16-Jul-16,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
